# Simple file based on B2 = 100 * B1
# Each line was calculated as the first B2 > 100 * B1 with k=1 in GMP-ECM
      11000       2453232 1 # B2 ~= 223.02 * B1
      50000      10062372 1 # B2 ~= 201.24 * B1
     250000      42901960 1 # B2 ~= 171.60 * B1
    1000000     174280272 1 # B2 ~= 174.28 * B1
    3000000     714667600 1 # B2 ~= 238.22 * B1
   11000000    2861203810 1 # B2 ~= 260.10 * B1
   43000000   11745674860 1 # B2 ~= 273.15 * B1
  110000000   11812922950 1 # B2 ~= 107.39 * B1
  260000000   48331032766 1 # B2 ~= 185.88 * B1
  850000000  194870067220 1 # B2 ~= 229.25 * B1
 2900000000  797402956366 1 # B2 ~= 274.96 * B1
 7600000000  802104453166 1 # B2 ~= 105.54 * B1
25000000000 3203202802816 1 # B2 ~= 128.12 * B1
